ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,Side,City,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-146697,MapQuest,201.0,2,2016-12-05 20:11:21,2016-12-05 20:40:30,33.789307,-82.897705,0.01,Accident on GA-10 / US-78 Eastbound at County Hwy-187 Philomath Rd.,Lexington Rd,R,Washington,30673-2835,US,US/Eastern,KIIY,2016-12-05 20:15:00,55.0,55.0,100.0,29.29,7.0,E,5.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-148071,MapQuest,201.0,2,2016-12-27 13:43:37,2016-12-27 14:13:13,33.833038,-82.750763,0.01,Right hand shoulder blocked due to accident on GA-17 Tignall Rd Northbound near Pecan Grove Rd.,Tignall Rd,R,Washington,30673-4903,US,US/Eastern,KIIY,2016-12-27 13:35:00,72.0,72.0,78.0,29.46,10.0,SW,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-148602,MapQuest,201.0,2,2017-01-05 15:45:48,2017-01-05 16:15:22,33.782990000000005,-82.845123,0.01,Right hand shoulder blocked due to accident on US-78 Lexington Rd Westbound at Swann Rd.,Swann Rd,L,Washington,30673-2704,US,US/Eastern,KIIY,2017-01-05 15:55:00,61.0,61.0,45.0,29.16,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-148771,MapQuest,201.0,2,2017-01-09 17:29:13,2017-01-09 17:58:28,33.749084,-82.760986,0.01,Accident on GA-10 / US-78 Eastbound around Campbell St.,Campbell St,R,Washington,30673-1319,US,US/Eastern,KIIY,2017-01-09 17:35:00,39.0,39.0,49.0,29.87,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-162290,MapQuest,201.0,2,2016-10-21 16:48:28,2016-10-21 17:16:46,41.337139,-91.715836,0.01,Accident on IA-1 at IA-92.,Highway 92,R,Washington,52353,US,US/Central,KAWG,2016-10-21 16:55:00,,,,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-173259,MapQuest,201.0,2,2016-09-22 09:42:15,2016-09-22 10:11:33,40.704983,-89.44560200000001,0.0,Accident on US-24 Bus Washington Rd Westbound at Cummings Ln.,S Cummings Ln,R,Washington,61571,US,US/Central,KPIA,2016-09-22 09:54:00,77.0,,69.0,30.06,10.0,SSW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-174283,MapQuest,201.0,2,2016-10-12 11:14:13,2016-10-12 11:58:59,40.70343,-89.45255999999999,0.01,Accident on Lakeshore Dr at Pine Ridge Dr.,Lakeshore Dr,R,Washington,61571,US,US/Central,KPIA,2016-10-12 11:14:00,63.0,,100.0,30.0,2.5,WSW,10.4,0.05,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-176234,MapQuest,201.0,2,2016-08-26 18:22:47,2016-08-26 19:22:47,40.719833,-89.445877,0.0,Very slow traffic due to accident on US-24 Eastbound at Cummings Ln.,N Cummings Ln,R,Washington,61571,US,US/Central,KPIA,2016-08-26 17:54:00,78.1,,79.0,30.06,10.0,ENE,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-176238,MapQuest,202.0,2,2016-08-26 19:17:12,2016-08-26 20:02:12,40.719833,-89.445877,0.0,Lane closed due to serious accident on US-24 Eastbound at Cummings Ln.,N Cummings Ln,R,Washington,61571,US,US/Central,KPIA,2016-08-26 18:54:00,77.0,,82.0,30.06,10.0,ENE,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-177175,MapQuest,241.0,2,2016-06-23 15:16:54,2016-06-23 16:16:54,40.706383,-89.46127299999999,0.0,Lane blocked due to accident on Freedom Pkwy Northbound near US-24 Bus.,US Highway 24 Business,R,Washington,61571,US,US/Central,KPIA,2016-06-23 14:54:00,84.9,,46.0,29.89,10.0,WNW,12.7,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
